 0.000000e+0    0.000000e+0
 0.590000e+0    0.000000e+0	
 3.718000e+0	2.791000e-21
 3.723500e+0	2.796000e-21
 3.729000e+0	2.789000e-21
 3.734500e+0	2.781000e-21
 3.740000e+0	2.774000e-21
 3.745500e+0	2.766000e-21
 3.751000e+0	2.759000e-21
 3.756500e+0	2.751000e-21
 3.762000e+0	2.744000e-21
 3.767500e+0	2.736000e-21
 3.773000e+0	2.720000e-21
 3.778500e+0	2.696000e-21
 3.784000e+0	2.673000e-21
 3.789500e+0	2.649000e-21
 3.795000e+0	2.626000e-21
 3.800500e+0	2.602000e-21
 3.806000e+0	2.578000e-21
 3.811500e+0	2.555000e-21
 3.817000e+0	2.531000e-21
 3.822500e+0	2.507000e-21
 3.828000e+0	2.484000e-21
 3.833500e+0	2.460000e-21
 3.839000e+0	2.436000e-21
 3.844500e+0	2.413000e-21
 3.850000e+0	2.389000e-21
 3.855500e+0	2.365000e-21
 3.861000e+0	2.342000e-21
 3.866500e+0	2.318000e-21
 3.872000e+0	2.295000e-21
 3.877500e+0	2.271000e-21
 3.883000e+0	2.247000e-21
 3.888500e+0	2.224000e-21
 3.894000e+0	2.200000e-21
 3.899500e+0	2.176000e-21
 3.905000e+0	2.153000e-21
 3.910500e+0	2.129000e-21
 3.916000e+0	2.105000e-21
 3.921500e+0	2.082000e-21
 3.927000e+0	2.058000e-21
 3.932500e+0	2.034000e-21
 3.938000e+0	2.011000e-21
 3.943500e+0	1.987000e-21
 3.949000e+0	1.963000e-21
 3.954500e+0	1.940000e-21
 3.960000e+0	1.916000e-21
 3.965500e+0	1.893000e-21
 3.971000e+0	1.870000e-21
 3.976500e+0	1.849000e-21
 3.982000e+0	1.829000e-21
 3.987500e+0	1.809000e-21
 3.993000e+0	1.788000e-21
 3.998500e+0	1.768000e-21
 4.004000e+0	1.748000e-21
 4.009500e+0	1.727000e-21
 4.015000e+0	1.707000e-21
 4.020500e+0	1.687000e-21
 4.026000e+0	1.666000e-21
 4.031500e+0	1.646000e-21
 4.037000e+0	1.626000e-21
 4.042500e+0	1.605000e-21
 4.048000e+0	1.585000e-21
 4.053500e+0	1.565000e-21
 4.059000e+0	1.544000e-21
 4.064500e+0	1.524000e-21
 4.070000e+0	1.504000e-21
 4.075500e+0	1.483000e-21
 4.081000e+0	1.463000e-21
 4.086500e+0	1.443000e-21
 4.092000e+0	1.422000e-21
 4.097500e+0	1.402000e-21
 4.103000e+0	1.382000e-21
 4.108500e+0	1.361000e-21
 4.114000e+0	1.341000e-21
 4.119500e+0	1.321000e-21
 4.125000e+0	1.300000e-21
 4.130500e+0	1.280000e-21
 4.136000e+0	1.260000e-21
 4.141500e+0	1.239000e-21
 4.147000e+0	1.219000e-21
 4.152500e+0	1.199000e-21
 4.158000e+0	1.178000e-21
 4.163500e+0	1.158000e-21
 4.169000e+0	1.138000e-21
 4.174500e+0	1.119000e-21
 4.180000e+0	1.100000e-21
 4.185500e+0	1.082000e-21
 4.191000e+0	1.063000e-21
 4.196500e+0	1.045000e-21
 4.202000e+0	1.027000e-21
 4.207500e+0	1.008000e-21
 4.213000e+0	9.896000e-22
 4.218500e+0	9.711000e-22
 4.224000e+0	9.527000e-22
 4.229500e+0	9.342000e-22
 4.235000e+0	9.157000e-22
 4.240500e+0	8.973000e-22
 4.246000e+0	8.788000e-22
 4.251500e+0	8.603000e-22
 4.257000e+0	8.418000e-22
 4.262500e+0	8.234000e-22
 4.268000e+0	8.049000e-22
 4.273500e+0	7.885000e-22
 4.279000e+0	7.732000e-22
 4.284500e+0	7.580000e-22
 4.290000e+0	7.427000e-22
 4.295500e+0	7.275000e-22
 4.301000e+0	7.122000e-22
 4.306500e+0	6.970000e-22
 4.312000e+0	6.817000e-22
 4.317500e+0	6.664000e-22
 4.323000e+0	6.512000e-22
 4.328500e+0	6.359000e-22
 4.334000e+0	6.207000e-22
 4.339500e+0	6.054000e-22
 4.345000e+0	5.902000e-22
 4.350500e+0	5.749000e-22
 4.356000e+0	5.597000e-22
 4.361500e+0	5.444000e-22
 4.367000e+0	5.292000e-22
 4.372500e+0	5.157000e-22
 4.378000e+0	5.043000e-22
 4.383500e+0	4.930000e-22
 4.389000e+0	4.816000e-22
 4.394500e+0	4.703000e-22
 4.400000e+0	4.589000e-22
 4.405500e+0	4.476000e-22
 4.411000e+0	4.362000e-22
 4.416500e+0	4.249000e-22
 4.422000e+0	4.135000e-22
 4.427500e+0	4.022000e-22
 4.433000e+0	3.908000e-22
 4.438500e+0	3.795000e-22
 4.444000e+0	3.681000e-22
 4.449500e+0	3.568000e-22
 4.455000e+0	3.454000e-22
 4.460500e+0	3.341000e-22
 4.466000e+0	3.227000e-22
 4.471500e+0	3.123000e-22
 4.477000e+0	3.042000e-22
 4.482500e+0	2.962000e-22
 4.488000e+0	2.882000e-22
 4.493500e+0	2.801000e-22
 4.499000e+0	2.721000e-22
 4.504500e+0	2.641000e-22
 4.510000e+0	2.561000e-22
 4.515500e+0	2.480000e-22
 4.521000e+0	2.400000e-22
 4.526500e+0	2.320000e-22
 4.532000e+0	2.239000e-22
 4.537500e+0	2.159000e-22
 4.543000e+0	2.079000e-22
 4.548500e+0	1.998000e-22
 4.554000e+0	1.918000e-22
 4.559500e+0	1.838000e-22
 4.565000e+0	1.757000e-22
 4.570500e+0	1.680000e-22
 4.576000e+0	1.627000e-22
 4.581500e+0	1.575000e-22
 4.587000e+0	1.523000e-22
 4.592500e+0	1.470000e-22
 4.598000e+0	1.418000e-22
 4.603500e+0	1.366000e-22
 4.609000e+0	1.313000e-22
 4.614500e+0	1.261000e-22
 4.620000e+0	1.209000e-22
 4.625500e+0	1.156000e-22
 4.631000e+0	1.104000e-22
 4.636500e+0	1.052000e-22
 4.642000e+0	9.992000e-23
 4.647500e+0	9.469000e-23
 4.653000e+0	8.946000e-23
 4.658500e+0	8.422000e-23
 4.664000e+0	7.899000e-23
 4.669500e+0	7.376000e-23
 4.675000e+0	6.852000e-23
 4.680500e+0	6.329000e-23
 4.686000e+0	5.805000e-23
 4.691500e+0	5.282000e-23
 4.697000e+0	4.759000e-23
 4.702500e+0	4.235000e-23
 4.708000e+0	3.712000e-23
 4.713500e+0	3.189000e-23
 4.719000e+0	2.665000e-23
 4.724500e+0	2.339000e-23
 4.730000e+0	2.056000e-23
 4.735500e+0	1.773000e-23
 4.741000e+0	1.491000e-23
 4.746500e+0	1.208000e-23
 4.752000e+0	9.252000e-24
 4.757500e+0	6.425000e-24
 4.763000e+0	3.598000e-24
 4.768500e+0	7.711000e-25
