 0.000000e+0    0.000000e+0
 0.590000e+0    0.000000e+0	
 1.672000e+0	1.910000e-23
 1.677500e+0	7.161000e-23
 1.683000e+0	1.241000e-22
 1.688500e+0	1.766000e-22
 1.694000e+0	2.292000e-22
 1.699500e+0	2.817000e-22
 1.705000e+0	3.342000e-22
 1.710500e+0	3.867000e-22
 1.716000e+0	4.392000e-22
 1.721500e+0	5.344000e-22
 1.727000e+0	7.434000e-22
 1.732500e+0	9.524000e-22
 1.738000e+0	1.161000e-21
 1.743500e+0	1.370000e-21
 1.749000e+0	1.579000e-21
 1.754500e+0	1.788000e-21
 1.760000e+0	1.997000e-21
 1.765500e+0	2.206000e-21
 1.771000e+0	2.437000e-21
 1.776500e+0	2.765000e-21
 1.782000e+0	3.093000e-21
 1.787500e+0	3.422000e-21
 1.793000e+0	3.750000e-21
 1.798500e+0	4.078000e-21
 1.804000e+0	4.406000e-21
 1.809500e+0	4.734000e-21
 1.815000e+0	5.063000e-21
 1.820500e+0	5.423000e-21
 1.826000e+0	6.112000e-21
 1.831500e+0	6.800000e-21
 1.837000e+0	7.489000e-21
 1.842500e+0	8.177000e-21
 1.848000e+0	8.866000e-21
 1.853500e+0	9.554000e-21
 1.859000e+0	1.024000e-20
 1.864500e+0	1.093000e-20
 1.870000e+0	1.162000e-20
 1.875500e+0	1.265000e-20
 1.881000e+0	1.369000e-20
 1.886500e+0	1.472000e-20
 1.892000e+0	1.576000e-20
 1.897500e+0	1.679000e-20
 1.903000e+0	1.783000e-20
 1.908500e+0	1.886000e-20
 1.914000e+0	1.990000e-20
 1.919500e+0	2.094000e-20
 1.925000e+0	2.150000e-20
 1.930500e+0	2.202000e-20
 1.936000e+0	2.254000e-20
 1.941500e+0	2.306000e-20
 1.947000e+0	2.358000e-20
 1.952500e+0	2.410000e-20
 1.958000e+0	2.462000e-20
 1.963500e+0	2.514000e-20
 1.969000e+0	2.567000e-20
 1.974500e+0	2.554000e-20
 1.980000e+0	2.527000e-20
 1.985500e+0	2.501000e-20
 1.991000e+0	2.474000e-20
 1.996500e+0	2.447000e-20
 2.002000e+0	2.420000e-20
 2.007500e+0	2.393000e-20
 2.013000e+0	2.367000e-20
 2.018500e+0	2.340000e-20
 2.024000e+0	2.282000e-20
 2.029500e+0	2.212000e-20
 2.035000e+0	2.142000e-20
 2.040500e+0	2.072000e-20
 2.046000e+0	2.002000e-20
 2.051500e+0	1.932000e-20
 2.057000e+0	1.863000e-20
 2.062500e+0	1.793000e-20
 2.068000e+0	1.723000e-20
 2.073500e+0	1.653000e-20
 2.079000e+0	1.583000e-20
 2.084500e+0	1.513000e-20
 2.090000e+0	1.444000e-20
 2.095500e+0	1.374000e-20
 2.101000e+0	1.304000e-20
 2.106500e+0	1.234000e-20
 2.112000e+0	1.164000e-20
 2.117500e+0	1.094000e-20
 2.123000e+0	1.024000e-20
 2.128500e+0	9.546000e-21
 2.134000e+0	8.847000e-21
 2.139500e+0	8.149000e-21
 2.145000e+0	7.450000e-21
 2.150500e+0	6.752000e-21
 2.156000e+0	6.053000e-21
 2.161500e+0	5.355000e-21
 2.167000e+0	4.656000e-21
 2.172500e+0	4.191000e-21
 2.178000e+0	4.005000e-21
 2.183500e+0	3.819000e-21
 2.189000e+0	3.633000e-21
 2.194500e+0	3.447000e-21
 2.200000e+0	3.262000e-21
 2.205500e+0	3.076000e-21
 2.211000e+0	2.890000e-21
 2.216500e+0	2.704000e-21
 2.222000e+0	2.769000e-21
 2.227500e+0	3.273000e-21
 2.233000e+0	3.776000e-21
 2.238500e+0	4.280000e-21
 2.244000e+0	4.784000e-21
 2.249500e+0	5.287000e-21
 2.255000e+0	5.791000e-21
 2.260500e+0	6.294000e-21
 2.266000e+0	6.798000e-21
 2.271500e+0	7.467000e-21
 2.277000e+0	8.577000e-21
 2.282500e+0	9.687000e-21
 2.288000e+0	1.080000e-20
 2.293500e+0	1.191000e-20
 2.299000e+0	1.302000e-20
 2.304500e+0	1.413000e-20
 2.310000e+0	1.524000e-20
 2.315500e+0	1.635000e-20
 2.321000e+0	1.746000e-20
 2.326500e+0	1.857000e-20
 2.332000e+0	1.968000e-20
 2.337500e+0	2.079000e-20
 2.343000e+0	2.190000e-20
 2.348500e+0	2.301000e-20
 2.354000e+0	2.412000e-20
 2.359500e+0	2.523000e-20
 2.365000e+0	2.634000e-20
 2.370500e+0	2.741000e-20
 2.376000e+0	2.808000e-20
 2.381500e+0	2.875000e-20
 2.387000e+0	2.942000e-20
 2.392500e+0	3.009000e-20
 2.398000e+0	3.076000e-20
 2.403500e+0	3.143000e-20
 2.409000e+0	3.210000e-20
 2.414500e+0	3.278000e-20
 2.420000e+0	3.345000e-20
 2.425500e+0	3.319000e-20
 2.431000e+0	3.294000e-20
 2.436500e+0	3.268000e-20
 2.442000e+0	3.243000e-20
 2.447500e+0	3.217000e-20
 2.453000e+0	3.192000e-20
 2.458500e+0	3.166000e-20
 2.464000e+0	3.141000e-20
 2.469500e+0	3.116000e-20
 2.475000e+0	3.009000e-20
 2.480500e+0	2.894000e-20
 2.486000e+0	2.780000e-20
 2.491500e+0	2.665000e-20
 2.497000e+0	2.550000e-20
 2.502500e+0	2.436000e-20
 2.508000e+0	2.321000e-20
 2.513500e+0	2.207000e-20
 2.519000e+0	2.092000e-20
 2.524500e+0	1.977000e-20
 2.530000e+0	1.863000e-20
 2.535500e+0	1.748000e-20
 2.541000e+0	1.633000e-20
 2.546500e+0	1.519000e-20
 2.552000e+0	1.404000e-20
 2.557500e+0	1.289000e-20
 2.563000e+0	1.175000e-20
 2.568500e+0	1.060000e-20
 2.574000e+0	9.803000e-21
 2.579500e+0	9.136000e-21
 2.585000e+0	8.468000e-21
 2.590500e+0	7.800000e-21
 2.596000e+0	7.133000e-21
 2.601500e+0	6.465000e-21
 2.607000e+0	5.798000e-21
 2.612500e+0	5.130000e-21
 2.618000e+0	4.463000e-21
 2.623500e+0	4.443000e-21
 2.629000e+0	4.795000e-21
 2.634500e+0	5.146000e-21
 2.640000e+0	5.497000e-21
 2.645500e+0	5.849000e-21
 2.651000e+0	6.200000e-21
 2.656500e+0	6.551000e-21
 2.662000e+0	6.903000e-21
 2.667500e+0	7.254000e-21
 2.673000e+0	7.927000e-21
 2.678500e+0	8.868000e-21
 2.684000e+0	9.809000e-21
 2.689500e+0	1.075000e-20
 2.695000e+0	1.169000e-20
 2.700500e+0	1.263000e-20
 2.706000e+0	1.357000e-20
 2.711500e+0	1.451000e-20
 2.717000e+0	1.546000e-20
 2.722500e+0	1.619000e-20
 2.728000e+0	1.669000e-20
 2.733500e+0	1.718000e-20
 2.739000e+0	1.767000e-20
 2.744500e+0	1.816000e-20
 2.750000e+0	1.866000e-20
 2.755500e+0	1.915000e-20
 2.761000e+0	1.964000e-20
 2.766500e+0	2.013000e-20
 2.772000e+0	2.035000e-20
 2.777500e+0	2.010000e-20
 2.783000e+0	1.985000e-20
 2.788500e+0	1.960000e-20
 2.794000e+0	1.935000e-20
 2.799500e+0	1.910000e-20
 2.805000e+0	1.885000e-20
 2.810500e+0	1.860000e-20
 2.816000e+0	1.835000e-20
 2.821500e+0	1.800000e-20
 2.827000e+0	1.740000e-20
 2.832500e+0	1.679000e-20
 2.838000e+0	1.619000e-20
 2.843500e+0	1.558000e-20
 2.849000e+0	1.497000e-20
 2.854500e+0	1.437000e-20
 2.860000e+0	1.376000e-20
 2.865500e+0	1.316000e-20
 2.871000e+0	1.255000e-20
 2.876500e+0	1.194000e-20
 2.882000e+0	1.134000e-20
 2.887500e+0	1.073000e-20
 2.893000e+0	1.013000e-20
 2.898500e+0	9.521000e-21
 2.904000e+0	8.916000e-21
 2.909500e+0	8.310000e-21
 2.915000e+0	7.704000e-21
 2.920500e+0	7.117000e-21
 2.926000e+0	6.724000e-21
 2.931500e+0	6.331000e-21
 2.937000e+0	5.938000e-21
 2.942500e+0	5.545000e-21
 2.948000e+0	5.152000e-21
 2.953500e+0	4.759000e-21
 2.959000e+0	4.366000e-21
 2.964500e+0	3.972000e-21
 2.970000e+0	3.579000e-21
 2.975500e+0	3.578000e-21
 2.981000e+0	3.577000e-21
 2.986500e+0	3.576000e-21
 2.992000e+0	3.574000e-21
 2.997500e+0	3.573000e-21
 3.003000e+0	3.572000e-21
 3.008500e+0	3.571000e-21
 3.014000e+0	3.569000e-21
 3.019500e+0	3.568000e-21
 3.025000e+0	3.813000e-21
 3.030500e+0	4.082000e-21
 3.036000e+0	4.351000e-21
 3.041500e+0	4.620000e-21
 3.047000e+0	4.890000e-21
 3.052500e+0	5.159000e-21
 3.058000e+0	5.428000e-21
 3.063500e+0	5.697000e-21
 3.069000e+0	5.966000e-21
 3.074500e+0	6.236000e-21
 3.080000e+0	6.505000e-21
 3.085500e+0	6.774000e-21
 3.091000e+0	7.043000e-21
 3.096500e+0	7.312000e-21
 3.102000e+0	7.582000e-21
 3.107500e+0	7.851000e-21
 3.113000e+0	8.120000e-21
 3.118500e+0	8.389000e-21
 3.124000e+0	8.472000e-21
 3.129500e+0	8.485000e-21
 3.135000e+0	8.497000e-21
 3.140500e+0	8.510000e-21
 3.146000e+0	8.523000e-21
 3.151500e+0	8.535000e-21
 3.157000e+0	8.548000e-21
 3.162500e+0	8.561000e-21
 3.168000e+0	8.574000e-21
 3.173500e+0	8.428000e-21
 3.179000e+0	8.191000e-21
 3.184500e+0	7.955000e-21
 3.190000e+0	7.718000e-21
 3.195500e+0	7.482000e-21
 3.201000e+0	7.245000e-21
 3.206500e+0	7.009000e-21
 3.212000e+0	6.773000e-21
 3.217500e+0	6.536000e-21
 3.223000e+0	6.300000e-21
 3.228500e+0	6.063000e-21
 3.234000e+0	5.827000e-21
 3.239500e+0	5.590000e-21
 3.245000e+0	5.354000e-21
 3.250500e+0	5.117000e-21
 3.256000e+0	4.881000e-21
 3.261500e+0	4.644000e-21
 3.267000e+0	4.408000e-21
 3.272500e+0	4.209000e-21
 3.278000e+0	4.056000e-21
 3.283500e+0	3.903000e-21
 3.289000e+0	3.749000e-21
 3.294500e+0	3.596000e-21
 3.300000e+0	3.443000e-21
 3.305500e+0	3.290000e-21
 3.311000e+0	3.136000e-21
 3.316500e+0	2.983000e-21
 3.322000e+0	2.895000e-21
 3.327500e+0	2.923000e-21
 3.333000e+0	2.950000e-21
 3.338500e+0	2.977000e-21
 3.344000e+0	3.005000e-21
 3.349500e+0	3.032000e-21
 3.355000e+0	3.059000e-21
 3.360500e+0	3.086000e-21
 3.366000e+0	3.114000e-21
 3.371500e+0	3.170000e-21
 3.377000e+0	3.304000e-21
 3.382500e+0	3.438000e-21
 3.388000e+0	3.572000e-21
 3.393500e+0	3.706000e-21
 3.399000e+0	3.839000e-21
 3.404500e+0	3.973000e-21
 3.410000e+0	4.107000e-21
 3.415500e+0	4.241000e-21
 3.421000e+0	4.367000e-21
 3.426500e+0	4.459000e-21
 3.432000e+0	4.551000e-21
 3.437500e+0	4.643000e-21
 3.443000e+0	4.734000e-21
 3.448500e+0	4.826000e-21
 3.454000e+0	4.918000e-21
 3.459500e+0	5.010000e-21
 3.465000e+0	5.102000e-21
 3.470500e+0	5.176000e-21
 3.476000e+0	5.078000e-21
 3.481500e+0	4.979000e-21
 3.487000e+0	4.880000e-21
 3.492500e+0	4.782000e-21
 3.498000e+0	4.683000e-21
 3.503500e+0	4.585000e-21
 3.509000e+0	4.486000e-21
 3.514500e+0	4.387000e-21
 3.520000e+0	4.289000e-21
 3.525500e+0	4.106000e-21
 3.531000e+0	3.922000e-21
 3.536500e+0	3.739000e-21
 3.542000e+0	3.556000e-21
 3.547500e+0	3.373000e-21
 3.553000e+0	3.189000e-21
 3.558500e+0	3.006000e-21
 3.564000e+0	2.823000e-21
 3.569500e+0	2.640000e-21
 3.575000e+0	2.577000e-21
 3.580500e+0	2.527000e-21
 3.586000e+0	2.476000e-21
 3.591500e+0	2.425000e-21
 3.597000e+0	2.375000e-21
 3.602500e+0	2.324000e-21
 3.608000e+0	2.273000e-21
 3.613500e+0	2.223000e-21
 3.619000e+0	2.172000e-21
 3.624500e+0	2.197000e-21
 3.630000e+0	2.239000e-21
 3.635500e+0	2.280000e-21
 3.641000e+0	2.322000e-21
 3.646500e+0	2.364000e-21
 3.652000e+0	2.405000e-21
 3.657500e+0	2.447000e-21
 3.663000e+0	2.489000e-21
 3.668500e+0	2.530000e-21
 3.674000e+0	2.563000e-21
 3.679500e+0	2.591000e-21
 3.685000e+0	2.620000e-21
 3.690500e+0	2.648000e-21
 3.696000e+0	2.677000e-21
 3.701500e+0	2.705000e-21
 3.707000e+0	2.734000e-21
 3.712500e+0	2.762000e-21
