name,MEe,Ered,a_n,a_n_std,mobN,mobN_std,eesd,bulk
Bolsig,0.05026,0.0344351485056914,,,2.017e+25,,Equal,False
Bolsig,0.05084,0.0356117422638746,,,1.9999999999999998e+25,,Equal,False
Bolsig,0.05339,0.0406900038144356,,,1.9309999999999996e+25,,Equal,False
Bolsig,0.05375,0.041401749064247,,,1.9219999999999999e+25,,Equal,False
Bolsig,0.05719,0.0480810010197903,,,1.8389999999999994e+25,,Equal,False
Bolsig,0.05722,0.0481331357752106,,,1.8389999999999994e+25,,Equal,False
Bolsig,0.06131,0.0559589585444727,,,1.7519999999999996e+25,,Equal,False
Bolsig,0.06176,0.0568145107483358,,,1.7439999999999994e+25,,Equal,False
Bolsig,0.06612,0.0650571584616089,,,1.6639999999999997e+25,,Equal,False
Bolsig,0.06722,0.0671343891164862,,,1.6459999999999997e+25,,Equal,False
Bolsig,0.07175,0.0756346075264287,,,1.5749999999999997e+25,,Equal,False
Bolsig,0.07372,0.0793287866546627,,,1.547e+25,,Equal,False
Bolsig,0.07831,0.0879318124392523,,,1.4869999999999996e+25,,Equal,False
Bolsig,0.08141,0.0937381940153173,,,1.4499999999999995e+25,,Equal,False
Bolsig,0.08595,0.1022283831663975,,,1.4e+25,,Equal,False
Bolsig,0.09052,0.1107649491161959,,,1.3549999999999998e+25,,Equal,False
Bolsig,0.09485,0.1188493906233948,,,1.316e+25,,Equal,False
Bolsig,0.1013,0.1308844711762707,,,1.264e+25,,Equal,False
Bolsig,0.1052,0.1381727580349254,,,1.235e+25,,Equal,False
Bolsig,0.1141,0.1546585353198812,,,1.177e+25,,Equal,False
Bolsig,0.1173,0.160637854033893,,,1.1569999999999997e+25,,Equal,False
Bolsig,0.1292,0.1827509584011484,,,1.0939999999999997e+25,,Equal,False
Bolsig,0.1314,0.1867554828868063,,,1.0829999999999995e+25,,Equal,False
Bolsig,0.1471,0.2159461340265582,,,1.015e+25,,Equal,False
Bolsig,0.1478,0.2171194990000637,,,1.013e+25,,Equal,False
Bolsig,0.1668,0.2524203097941228,,,9.453e+24,,Equal,False
Bolsig,0.1683,0.2551709343086173,,,9.405999999999999e+24,,Equal,False
Bolsig,0.1889,0.2934605739696471,,,8.815e+24,,Equal,False
Bolsig,0.1932,0.3015205898889802,,,8.703999999999999e+24,,Equal,False
Bolsig,0.2145,0.3411734521078537,,,8.210999999999999e+24,,Equal,False
Bolsig,0.2225,0.3562892708502668,,,8.042999999999999e+24,,Equal,False
Bolsig,0.2441,0.3966438245814555,,,7.639999999999999e+24,,Equal,False
Bolsig,0.257,0.4210062223934854,,,7.422999999999998e+24,,Equal,False
Bolsig,0.2783,0.4611329592223649,,,7.103e+24,,Equal,False
Bolsig,0.2975,0.4974784642575492,,,6.843999999999998e+24,,Equal,False
Bolsig,0.3179,0.5361071896318065,,,6.597999999999998e+24,,Equal,False
