name,growth,Ered,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_1_std,k_2_std,k_3_std,k_4_std,k_5_std,k_6_std,k_7_std,k_8_std,k_9_std,k_10_std,k_11_std,k_12_std
ThunderBoltz,,500.0,4.485983512192905e-14,3.80800189522757e-16,2.087281897344154e-15,1.6382426390904522e-16,3.2742092560335036e-17,7.490673403682243e-17,1.8739592570946883e-16,6.8139539618577296e-18,3.533002385918436e-17,4.919744987968797e-16,4.4779917764138636e-17,7.316861896120182e-15,1.6109052906690907e-16,2.561000009746764e-18,1.4932581172250572e-17,1.0432358368476733e-18,2.675210510807813e-19,5.66620154646878e-19,1.1793326586753184e-18,8.992225441853669e-20,2.599516710122812e-19,3.4541562627254683e-18,3.502188455374218e-19,5.190472808140645e-17
ThunderBoltz,,100.0,7.290252335028706e-14,1.1210761675472398e-16,1.641685195147367e-16,1.28019169948019e-16,7.653186564781789e-18,1.6356734392697668e-17,1.0169492510196272e-16,4.387608038639488e-18,2.157995262436015e-17,3.234763783907127e-17,1.934261925819193e-17,3.494363412972244e-16,1.9243082752295808e-17,2.3213456203262768e-19,3.0417778134439604e-19,3.088166612858596e-19,6.132919750755342e-20,9.354339000481098e-20,2.645052804501598e-19,4.767196690607089e-20,9.961307895928636e-20,1.442183764034532e-19,9.611342249441734e-20,5.980056802422021e-19
ThunderBoltz,,50.0,7.666052812773548e-14,4.181318494106546e-17,3.4330373835186854e-17,6.222241639894421e-17,2.190982635890701e-18,4.662512034692124e-18,3.6019367195921356e-17,1.5265944046504777e-18,7.804771223599695e-18,5.8153743496608485e-18,5.605159230883644e-18,4.3865502890540925e-17,7.203193797415058e-18,2.1670586635508511e-19,2.1252714267468849e-19,2.8621510283307814e-19,5.2115481547892204e-20,7.37985297221405e-20,2.1297159084959346e-19,4.353967525479756e-20,9.268966375772178e-20,8.161544501933471e-20,8.354840723877523e-20,2.8069878474279365e-19
Bolsig,2.0,50.0,7.7e-14,3.876e-17,3.076e-17,5.861e-17,2.001e-18,4.236e-18,3.329e-17,1.42e-18,7.236e-18,5.161e-18,5.093e-18,3.773e-17,,,,,,,,,,,,
Bolsig,2.0,100.0,7.48e-14,9.917e-17,1.312e-16,1.183e-16,6.564e-18,1.402e-17,9.07e-17,3.943e-18,1.94e-17,2.533e-17,1.686e-17,2.613e-16,,,,,,,,,,,,
Bolsig,2.0,500.0,5.318e-14,3.984e-16,1.727e-15,2.113e-16,3.501e-17,7.631e-17,2.416e-16,8.934e-18,4.571e-17,3.961e-16,5.729e-17,5.64e-15,,,,,,,,,,,,
Bolsig,4.0,50.0,7.691e-14,4.196e-17,3.41e-17,6.269e-17,2.199e-18,4.658e-18,3.624e-17,1.551e-18,7.884e-18,5.773e-18,5.61e-18,4.307e-17,,,,,,,,,,,,
Bolsig,4.0,100.0,7.39e-14,1.143e-16,1.64e-16,1.31e-16,7.806e-18,1.667e-17,1.045e-16,4.526e-18,2.221e-17,3.218e-17,1.989e-17,3.445e-16,,,,,,,,,,,,
Bolsig,4.0,500.0,4.797e-14,4.167e-16,2.226e-15,1.799e-16,3.621e-17,8.21e-17,2.08e-16,7.501e-18,3.906e-17,5.227e-16,5.002e-17,7.733e-15,,,,,,,,,,,,
