Energy (eV),ICS (cm^2),MTCS (cm^2),s2S (cm^2),s2P (cm^2),t2S (cm^2),S3P (cm^2),s3D (cm^2),s3S (cm^2),t2P (cm^2),t3D (cm^2),s4F (cm^2),t3S (cm^2),T2P (cm^2),s4D (cm^2),t4F (cm^2),s4S (cm^2),s3P (cm^2),t4D (cm^2),s5F (cm^2),t4S (cm^2),t3P (cm^2),s5D (cm^2),t5F (cm^2),s5S (cm^2),T3P (cm^2),t5D (cm^2),s6F (cm^2),t5S (cm^2),s4P (cm^2),s6D (cm^2),t6F (cm^2),s6S (cm^2),t4P (cm^2)
166.67,3.415e-17,1.001e-17,9.461e-19,8.445e-18,4.413e-20,1.57e-21,7.791e-20,2.084e-19,4.272e-20,5.539e-22,4.248e-22,9.741e-21,2.747e-21,4.591e-20,8.752e-24,8.512e-20,2.062e-18,4.303e-22,1.003e-21,3.764e-21,1.302e-20,5.261e-20,5.579e-23,8.791e-20,4.084e-21,6.101e-22,2.014e-21,3.472e-21,8.954e-19,8.876e-20,1.229e-22,1.262e-19,5.837e-21
176.33,3.193e-17,9.105e-18,9.059e-19,8.335e-18,3.98e-20,1.89e-21,7.268e-20,2.001e-19,3.557e-20,4.633e-22,4.226e-22,8.785e-21,2.33e-21,4.08e-20,1.691e-23,8.126e-20,2.037e-18,3.443e-22,7.307e-22,3.41e-21,1.085e-20,4.758e-20,1.793e-22,8.366e-20,3.668e-21,4.713e-22,2.094e-21,3.027e-21,8.832e-19,8.182e-20,2.812e-22,1.208e-19,4.936e-21
186.26,3.001e-17,8.31e-18,8.673e-19,8.183e-18,3.264e-20,2.112e-21,6.828e-20,1.92e-19,3.038e-20,3.817e-22,3.794e-22,7.247e-21,1.621e-21,3.832e-20,6.174e-23,7.764e-20,2.003e-18,2.577e-22,7.864e-22,2.849e-21,9.182e-21,4.728e-20,3.911e-22,8.058e-20,3.521e-21,4.18e-22,1.938e-21,2.406e-21,8.682e-19,7.814e-20,2.762e-22,1.16e-19,4.134e-21
196.47,2.817e-17,7.561e-18,8.458e-19,8.018e-18,4.084e-20,1.887e-21,6.235e-20,1.805e-19,2.644e-20,3.031e-22,3.65e-22,7.7e-21,1.734e-21,3.587e-20,4.859e-23,7.298e-20,1.981e-18,5.348e-22,7.304e-22,2.832e-21,7.885e-21,4.624e-20,3.646e-22,7.669e-20,3.782e-21,1.51e-21,2.298e-21,2.641e-21,8.6e-19,8.242e-20,2.536e-22,1.081e-19,3.521e-21
206.94,2.653e-17,6.938e-18,7.997e-19,7.871e-18,3.049e-20,1.586e-21,6.032e-20,1.766e-19,2.218e-20,2.632e-22,3.556e-22,6.039e-21,1.218e-21,3.428e-20,2.212e-23,7.162e-20,1.938e-18,1.766e-22,6.514e-22,2.184e-21,6.806e-21,4.175e-20,3.22e-22,7.421e-20,1.549e-21,4.642e-22,1.588e-21,2.354e-21,8.426e-19,7.381e-20,4.38e-22,1.062e-19,2.999e-21
217.69,2.5e-17,6.366e-18,7.749e-19,7.738e-18,2.413e-20,1.274e-21,5.638e-20,1.703e-19,1.753e-20,2.173e-22,4.363e-22,5.37e-21,8.161e-22,3.171e-20,5.802e-23,6.856e-20,1.908e-18,1.467e-22,7.739e-22,2.019e-21,5.576e-21,3.958e-20,2.695e-22,7.229e-20,1.252e-21,3.295e-22,1.804e-21,1.959e-21,8.255e-19,6.47e-20,5.142e-22,1.006e-19,2.582e-21
240.01,2.234e-17,5.383e-18,7.224e-19,7.426e-18,1.846e-20,1.046e-21,5.099e-20,1.597e-19,1.346e-20,1.63e-22,2.484e-22,4.014e-21,4.86e-22,2.856e-20,1.603e-23,6.446e-20,1.832e-18,1.11e-22,8.735e-22,1.575e-21,4.194e-21,3.566e-20,1.666e-22,6.614e-20,7.249e-22,7.084e-22,1.552e-21,1.354e-21,8.003e-19,5.675e-20,4.65e-22,9.399e-20,1.912e-21
275.52,1.904e-17,4.251e-18,6.411e-19,6.968e-18,1.269e-20,7.818e-22,4.417e-20,1.432e-19,9.409e-21,1.018e-22,6.372e-22,2.825e-21,2.193e-22,2.608e-20,3.732e-23,5.682e-20,1.727e-18,1.793e-22,8.598e-22,9.248e-22,2.92e-21,3.183e-20,2.56e-22,6.144e-20,2.592e-22,2.767e-22,1.213e-21,1.146e-21,7.511e-19,4.959e-20,3.532e-22,8.419e-20,1.239e-21
340.14,1.497e-17,2.962e-18,5.345e-19,6.233e-18,7.281e-21,4.869e-22,3.543e-20,1.19e-19,4.921e-21,4.737e-23,2.377e-22,1.582e-21,7.132e-23,1.919e-20,1.837e-23,4.82e-20,1.55e-18,8.214e-23,6.359e-22,6.102e-22,1.517e-21,2.383e-20,7.53e-23,5.006e-20,1.08e-22,2.29e-22,1.03e-21,5.495e-22,6.762e-19,3.792e-20,1.043e-22,7.166e-20,6.896e-22
411.58,1.208e-17,2.137e-18,4.546e-19,5.572e-18,4.396e-21,2.943e-22,2.909e-20,1.012e-19,2.836e-21,2.59e-23,2.452e-22,9.486e-22,2.864e-23,1.692e-20,8.505e-23,4.075e-20,1.388e-18,1.321e-22,7.998e-22,3.69e-22,8.689e-22,2.115e-20,1.408e-22,4.267e-20,6.347e-23,1.739e-22,1.752e-21,3.268e-22,6.072e-19,3.378e-20,1.643e-22,6.056e-20,4.013e-22
489.81,9.953e-18,1.587e-18,3.896e-19,5.01e-18,2.796e-21,1.907e-22,2.455e-20,8.721e-20,1.7e-21,2.047e-23,5.556e-22,6.02e-22,1.21e-23,1.39e-20,9.934e-23,3.524e-20,1.247e-18,9.102e-23,1.088e-21,2.343e-22,5.191e-22,1.685e-20,1.106e-22,3.671e-20,3.177e-23,7.034e-23,1.177e-21,2.112e-22,5.449e-19,2.827e-20,3.214e-22,5.196e-20,2.442e-22
666.68,7.097e-18,9.339e-19,2.945e-19,4.1e-18,1.197e-21,9.774e-23,1.788e-20,6.602e-20,6.625e-22,8.515e-24,1.393e-22,2.564e-22,2.959e-24,1.062e-20,4.353e-23,2.678e-20,1.022e-18,1.141e-22,5.895e-22,9.998e-23,2.036e-22,1.274e-20,7.066e-23,2.776e-20,9.87e-24,5.75e-23,9.878e-22,8.956e-23,4.465e-19,2.125e-20,1.022e-22,3.936e-20,9.364e-23
870.77,5.321e-18,5.885e-19,2.303e-19,3.409e-18,5.558e-22,5.303e-23,1.377e-20,5.167e-20,2.902e-22,4.784e-24,2.108e-22,1.182e-22,9.053e-25,8.115e-21,3.15e-23,2.102e-20,8.5e-19,1.43e-22,1.008e-21,4.437e-23,8.921e-23,9.927e-21,8.051e-23,2.167e-20,3.267e-24,8.807e-23,1.235e-21,4.492e-23,3.726e-19,1.597e-20,1.132e-22,3.119e-20,4.4e-23
1102.1,4.139e-18,3.906e-19,1.846e-19,2.877e-18,2.801e-22,2.898e-23,1.093e-20,4.145e-20,1.402e-22,2.729e-24,3.937e-22,5.895e-23,3.264e-25,6.738e-21,3.511e-23,1.676e-20,7.175e-19,2.712e-23,9.721e-22,2.848e-23,4.333e-23,8.034e-21,6.457e-23,1.759e-20,1.244e-24,5.015e-23,1.305e-21,1.847e-23,3.106e-19,1.32e-20,8.865e-23,2.498e-20,2.281e-23
1360.6,3.318e-18,2.705e-19,1.512e-19,2.464e-18,1.509e-22,1.575e-23,8.622e-21,3.398e-20,7.331e-23,2.728e-24,5.755e-22,3.206e-23,1.343e-25,5.408e-21,3.916e-23,1.396e-20,5.893e-19,6.067e-23,2.048e-21,1.302e-23,2.263e-23,6.379e-21,8.527e-23,1.417e-20,4.473e-25,4.471e-23,3.637e-21,9.485e-24,2.607e-19,1.081e-20,5.901e-23,2.056e-20,1.22e-23
