i,f,A1,A2,A3,A4,A5,A6,table
s1S,s2P,7.087e-1,-9.347e-2,-1.598e0,2.986e0,-1.293e0,3.086e-1,dipole-allowed
s1S,s3P,1.730e-1,2.410e-2,-4.709e-1,7.690e-1,-3.216e-1,8.568e-1,dipole-allowed
s1S,s4P,6.923e-2,6.893e-3,-2.079e-1,3.508e-1,-1.497e-1,4.280e-2,dipole-allowed
s2S,s2P,3.404e1,7.267e1,1.710e2,-7.033e2,4.704e2,1.194e1,dipole-allowed
s2S,s3P,3.336e0,-1.147e0,-4.889e0,2.023e1,-1.336e1,1.059e1,dipole-allowed
s2S,s4P,8.826e-1,-3.618e-1,-1.231e0,5.606e0,-3.985e0,5.890e0,dipole-allowed
s2P,s3S,4.604e0,-2.204e0,-1.093e1,3.893e1,-2.440e1,5.612e0,dipole-allowed
s2P,s3D,6.255e1,4.458e1,-2.409e2,4.069e2,-1.955e2,1.055e1,dipole-allowed
s2P,s4S,5.545e-1,-4.400e-4,-6.360e-1,1.785e0,-4.656e-1,3.675e0,dipole-allowed
s2P,s4D,7.910e0,9.449e0,-4.534e1,7.295e1,-3.374e1,5.963e0,dipole-allowed
s3S,s3P,1.837e2,5.147e2,-2.760e3,4.081e3,-1.832e3,2.332e1,dipole-allowed
s3S,s4P,1.517e1,-3.469e1,7.918e1,-6.474e1,2.026e1,2.138e0,dipole-allowed
s3D,s3P,2.932e2,8.061e2,1.229e5,-9.222e5,1.898e6,1.134e2,dipole-allowed
s3D,s4F,4.145e2,3.149e2,-2.065e3,3.516e3,-1.650e3,2.407e1,dipole-allowed
s3D,s4P,3.712e0,2.713e0,-5.615e0,5.290e0,-2.158e0,0.000e0,dipole-allowed
s3P,s4S,7.884e0,1.097e2,-5.543e2,1.008e3,-5.630e2,3.559e1,dipole-allowed
s3P,s4D,1.629e2,6.048e1,-1.055e3,2.398e3,-1.390e3,2.594e1,dipole-allowed
s4S,s4P,6.787e2,9.856e2,-1.751e4,-4.424e3,2.284e5,1.876e1,dipole-allowed
s4D,s4F,1.498e3,3.296e3,1.250e4,-2.970e4,1.501e4,6.435e0,dipole-allowed
s4D,s4P,1.161e3,3.649e3,6.912e5,-1.081e7,5.967e7,1.523e2,dipole-allowed
t2S,t2P,7.696e1,1.250e2,4.938e1,-4.778e2,3.189e2,8.157e0,dipole-allowed
t2S,t3P,3.292e0,-3.594e0,3.934e0,1.138e1,-8.145e0,3.360e0,dipole-allowed
t2S,t4P,9.700e-1,-4.920e-1,1.629e0,5.632e-1,4.405e-2,5.963e0,dipole-allowed
t2P,t3S,1.929e1,4.277e0,-6.306e1,1.483e2,-6.056e1,8.088e0,dipole-allowed
t2P,t3D,1.414e2,9.031e1,-6.238e2,1.183e3,-6.424e2,8.626e0,dipole-allowed
t2P,t4S,2.198e0,2.445e-1,-4.386e-1,-1.691e0,7.824e0,4.614e0,dipole-allowed
t2P,t4D,2.209e1,2.204e1,-1.161e2,2.050e2,-1.064e2,5.876e0,dipole-allowed
t3S,t3P,4.881e2,7.567e2,-6.376e3,1.258e4,-7.062e3,1.652e1,dipole-allowed
t3S,t4P,7.079e0,-9.037e-1,-1.830e0,2.059e1,-8.431e0,2.199e0,dipole-allowed
t3P,t3D,9.796e2,1.371e3,8.389e4,-4.649e5,6.375e5,4.209e1,dipole-allowed
t3P,t4S,1.233e2,2.406e1,-5.256e2,1.274e3,-6.444e2,2.301e1,dipole-allowed
t3P,t4D,3.295e2,6.359e1,-1.630e3,4.159e3,-2.512e3,2.522e1,dipole-allowed
t3D,t4F,1.255e3,8.455e2,-6.966e3,1.319e4,-6.781e3,2.291e1,dipole-allowed
t3D,t4P,2.639e1,-8.708e0,8.497e1,4.800e0,-2.920e1,4.310e0,dipole-allowed
t4S,t4P,3.306e3,-8.483e3,2.027e4,-1.869e4,6.912e3,2.733e0,dipole-allowed
t4P,t4D,3.462e3,8.765e3,5.011e5,-6.347e6,1.989e7,6.451e1,dipole-allowed
t4D,t4F,2.884e3,2.423e4,1.663e7,-2.552e8,2.912e9,5.760e2,dipole-allowed
s1S,s2S,1.888e-1,-5.754e-1,3.439e0,-2.088e0,2.544e1,,dipole-forbidden
s1S,s3S,4.033e-2,-1.872e-2,2.368e0,-1.379e0,1.258e2,,dipole-forbidden
s1S,s3D,9.708e-3,2.855e-2,-8.265e-2,4.944e-2,1.992e-1,,dipole-forbidden
s1S,s4S,1.613e-2,-5.564e-2,2.943e-1,-2.024e-1,2.342e1,,dipole-forbidden
s1S,s4D,5.420e-3,1.198e-2,-3.173e-2,1.606e-2,1.060e-1,,dipole-forbidden
s1S,s4F,4.383e-5,-1.033e-4,3.772e-3,1.631e-2,5.644e1,,dipole-forbidden
s2P,s3P,1.689e1,-4.916e1,1.185e2,-7.711e1,1.079e1,,dipole-forbidden
s2P,s4F,4.731e0,2.708e1,-3.209e1,1.993e1,2.372e1,,dipole-forbidden
s2P,s4P,3.599e0,-1.267e1,1.916e1,-1.007e1,0.000e0,,dipole-forbidden
s2S,s3S,3.762e0,-1.140e1,1.403e1,-5.377e0,1.010e0,,dipole-forbidden
